word	source	identifier
AMINO	MESH	D000596
UDP	MESH	D014530
D-Ga	MESH	C043055
CMP	MESH	D003568
GeNAe	MESH	D005857
O	MESH	D013481
Neomycin	MESH	D009355
Jananycin		
DOlrosuninde		
513140 335O UDP	MESH	D014530
UDP-3-anino-GeNAcA	MESH	D005857
MalNAA	MESH	C042349
POUDP-GINACA		
Fructose	MESH	D005632
UDP-4-ato	MESH	C102877
UDP-2scetunido- UDPN-scetyl	MESH	D014530
24Diacetanido	MESH	C055039
gnoninate		
bacillosavin ballonuvine		
gloruronate		
stenonvene		
O Anbinan	MESH	D013481
gauonate		
O UDP	MESH	D014530
OUDP		
Undecapenyl		
L-AAN	MESH	C040882
phosphate	MESH	D010710
UDP-4lato-6-drosy-D-Ge UDP	MESH	D014530
O Pectin	MESH	C030121
ODP	MESH	C412903
GDP	MESH	D006153
O GDP-D-Rha	MESH	D006153
O ODP6	MESH	C412903
23127o GDP-N-scetyl-D	MESH	C092829
GDP-Ge	MESH	D005857
AacF OCDP	MESH	C051336
CDP-4eto	MESH	D003565
11134 O CDP	MESH	D003565
CDP	MESH	D003565
11130031310o CDP	MESH	D003565
ADP	MESH	D000244
Ge	MESH	D005857
