word	mesh	match	name	chebi
pantetheine 4-phosphate	mesh:C003129	D-pantetheine 4'-phosphate	4'-phosphopantetheine	chebi:4222
4-phosphopantothenate	mesh:C011988	(R)-4'-phosphopantothenic acid	phosphopantothenic acid	chebi:15905
Coenzyme A	mesh:D003067	Coenzymes	coenzyme	chebi:23354
L-cysteine	mesh:D003545	Cysteine	cysteine	chebi:15356
CMP	mesh:D003568	Cytidine Monophosphate	cytidine 5'-monophosphate	chebi:17361
3-aminopropanol	mesh:D011412	Propanolamines	propanolamine	chebi:35533
pyrophosphate	mesh:D011756	NA	NA	NA
beta-alanine	mesh:D015091	beta-Alanine	beta-alanine	chebi:16958
