word	mesh	match	name	chebi
P-O-e-OH	mesh:C031356	hydroxide	hydroxide ion	chebi:16234
Germacrene A	mesh:C471077	NA	NA	NA
4-Cytidine-5-PP	mesh:D003562	Cytidine	cytidine	chebi:17562
CMP	mesh:D003568	Cytidine Monophosphate	cytidine 5'-monophosphate	chebi:17361
2-methyl-D-erythritol	mesh:D004896	Erythritol	erythritol	chebi:17113
Glyceraldehyde-3-P	mesh:D005985	Glyceraldehyde	glyceraldehyde	chebi:5445
Mevalonate	mesh:D008798	NA	NA	NA
Mevalonate-5-P	mesh:D008798	NA	NA	NA
Mevalonate-5-PP	mesh:D008798	NA	NA	NA
Pyruvate	mesh:D011773	NA	NA	NA
xylulose-5-P	mesh:D014996	Xylulose	xylulose	chebi:27353
