word	mesh	match	name	chebi
ADP	NA	ADP	L-alanyl-L-alpha-aspartyl-L-proline	chebi:73342
ROS	NA	ROS	NA	chebi:26523
Bim	NA	bim	benzimidazol-1-ide	chebi:33173
INS	NA	Ins	myo-inositol	chebi:17268
DNA	NA	DNA	deoxyribonucleic acids	chebi:16991
PIP3	NA	PIP3	1-O-(3-sn-phosphatidyl)-1D-myo-inositol 3,4,5-tris(dihydrogen phosphate)	chebi:16618
SOK	NA	SOK	2-chloro-4,5-dimethylphenyl methylcarbamate	chebi:82090
Glutamate	NA	Glutamate	(2S)-2-aminopentanedioic acid	chebi:16015
Bas	NA	BaS	barium sulfide	chebi:32590
DNA	NA	DNA	deoxyribonucleic acids	chebi:16991
