word	mesh	match	name	chebi
Alcohol	mesh:D000431	Ethanol	ethanol	chebi:16236
NAD	mesh:D009243	NAD	NAD(+)	chebi:15846
NADPH	mesh:D009249	NA	NA	NA
O2	mesh:D013481	Superoxides	superoxide	chebi:18421
H2O	mesh:D014867	Water	water	chebi:15377
Aldehyde	mesh:D000447	Aldehydes	aldehyde	chebi:17478
Trol	mesh:C472788	NA	NA	NA
9,10-dihydroxystearic acid	mesh:C074110	9,10-dihydroxyoctadecanoic acid	9,10-dihydroxystearic acid	chebi:28724
9,10-diketostearic acid	mesh:C070441	NA	NA	NA
Oleic acid	mesh:D009829	NA	NA	NA
epoxystearic acid	mesh:C013519	NA	NA	NA
azelaic acid	mesh:C010038	nonanedioic acid	azelaic acid	chebi:48131
9-decenoic acid	mesh:C052476	2-decenoic acid	2-decenoic acid	chebi:50465
9-ketodecanoic acid	mesh:C070441	NA	NA	NA
