word	mesh	match	name	chebi
9-cis-Neoxanthin	mesh:C011947	NA	NA	NA
9-cis-Violaxanthin	mesh:C005613	NA	NA	NA
179339 AA0606280	mesh:C493772	NA	NA	NA
433219_AA1406030	mesh:C493772	NA	NA	NA
112193 AA0332790	mesh:C493772	NA	NA	NA
249262 AA0843480	mesh:C493772	NA	NA	NA
061589 AA0199260	mesh:C493772	NA	NA	NA
232726 AA0831260	mesh:C493772	NA	NA	NA
251745 AA0884450	mesh:C493772	NA	NA	NA
25174S AA0884440	mesh:C052467	NA	NA	NA
Neoxanthin	mesh:C011947	NA	NA	NA
392545 AA1260580	mesh:C493772	NA	NA	NA
093178 AA0274200 ABA aldehyde	mesh:C048796	NA	NA	NA
404125_AA1285180	mesh:C493772	NA	NA	NA
434857 AA1442630	mesh:C493772	NA	NA	NA
457217 AA1483860	mesh:C493772	NA	NA	NA
SDS	mesh:C032259	NA	NA	NA
061434 AA0195270	mesh:C493772	NA	NA	NA
221378 AA0738750	mesh:C493772	NA	NA	NA
AA1032530	mesh:C493772	NA	NA	NA
