word	mesh	match	name	chebi
Cinnamic acid	NA	Cinnamic acid	3-phenylprop-2-enoic acid	chebi:27386
P-Coumaric acid	NA	p-coumaric acid	3-(4-hydroxyphenyl)prop-2-enoic acid	chebi:36090
p-Coumaraldehyde	NA	p-Coumaraldehyde	(2E)-3-(4-hydroxyphenyl)prop-2-enal	chebi:28353
Phenylalanine	NA	phenylalanine	(2S)-2-azaniumyl-3-phenylpropanoate	chebi:58095
p-Coumaryl alcohol	NA	p-Coumaryl alcohol	(E)-4-coumaroyl alcohol	chebi:64555
H-lignin	NA	H-lignin	NA	chebi:64474
Feruloyl-CoA	NA	feruloyl-CoA	3'-phosphonatoadenosine 5'-{3-[(3R)-3-hydroxy-4-({3-[(2-{[3-(4-hydroxy-3-methoxyphenyl)prop-2-enoyl]sulfanyl}ethyl)amino]-3-oxopropyl}amino)-2,2-dimethyl-4-oxobutyl] diphosphate}	chebi:57276
G-lignin	NA	G-lignin	NA	chebi:64475
Coniferyl alcohol	NA	Coniferyl alcohol	4-[(1E)-3-hydroxyprop-1-en-1-yl]-2-methoxyphenol	chebi:17745
S-lignin	NA	S-lignin	NA	chebi:64476
Sinapaldehyde	NA	Sinapaldehyde	(E)-sinapaldehyde	chebi:27949
Coniferaldehyde	NA	Coniferaldehyde	(E)-coniferaldehyde	chebi:16547
5-Hydroxyconiferaldehyde	NA	5-Hydroxyconiferaldehyde	NA	chebi:31134
