organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
9606	Homo sapiens	Primates	AICAR	AICAR	ATIC	471	ncbigene_synonym	1	5	5
9606	Homo sapiens	Primates	IMP	IMP	IMPA1	3612	ncbigene_synonym	1	5	5
9606	Homo sapiens	Primates	IMP	IMP	BRAP	8315	ncbigene_synonym	1	5	5
9606	Homo sapiens	Primates	XMP	XMP	EMP2	2013	ncbigene_synonym	1	5	5
9606	Homo sapiens	Primates	GMP	GMP	NT5C2	22978	ncbigene_synonym	1	5	5
9606	Homo sapiens	Primates	PC	PC	PC	5091	ncbigene_symbol	1	5	5
