word	mesh	match	name	chebi
L-serine	mesh:C047902	NA	NA	NA
Palmitoyl	mesh:C032023	NA	NA	NA
Ketosphinganine	mesh:C002882	NA	NA	NA
Serine-palmitoyl	mesh:C047210	NA	NA	NA
Dihydro-sphingosine 1-P	mesh:D013110	Sphingosine	sphingosine	chebi:16393
Sphinganine	mesh:C005682	NA	NA	NA
Ketosphinganine	mesh:C002882	NA	NA	NA
Fumonisin B	mesh:C056933	NA	NA	NA
ceramides	mesh:D002518	Ceramides	ceramide	chebi:17761
Phospho-ethanolamine	mesh:D004983	Ethanolamines	ethanolamines	chebi:23981
Sphingosine	mesh:D013110	Sphingosine	sphingosine	chebi:16393
phosphate	mesh:D010710	NA	NA	NA
Sphingosine	mesh:D013110	Sphingosine	sphingosine	chebi:16393
Ceramide	mesh:D002518	Ceramides	ceramide	chebi:17761
Sphingosine	mesh:D013110	Sphingosine	sphingosine	chebi:16393
Ceramide	mesh:D002518	Ceramides	ceramide	chebi:17761
Glucosylceramide	mesh:D005963	D-glucosyl-N-acylsphingosine	Glucosylceramides	chebi:18368
Sphingomyelin	mesh:D013109	NA	NA	NA
Sphingomyelin	mesh:D013109	NA	NA	NA
