word	mesh	match	name	chebi
K-O	mesh:D011188	Potassium	potassium atom	chebi:26216
xylene	mesh:D014992	Xylenes	xylene	chebi:27338
H	mesh:D006859	Hydrogen	dihydrogen	chebi:18276
CH	mesh:C103208	NA	NA	NA
1,2-dichloroethane	mesh:C024565	1,2-dichloroethane	ethylene dichloride	chebi:27789
O	mesh:D013481	Superoxides	superoxide	chebi:18421
THF	mesh:C006461	NA	NA	NA
N-O-C-NH	mesh:C037040	NA	NA	NA
H,CH,(3)	mesh:C103208	NA	NA	NA
H,F(4)	mesh:D006859	Hydrogen	dihydrogen	chebi:18276
Cl,(2,4)	mesh:D002713	NA	NA	NA
Hg	mesh:D008628	Mercury	mercury(0)	chebi:16170
