word	mesh	match	name	chebi
D-Ribose 5-phosphate	mesh:C031626	ribose phosphate	ribose-5-phosphate	chebi:26562
GDP-octose	mesh:D006153	Guanosine Diphosphate	GDP	chebi:17552
D-Fructose 6-phosphate	mesh:C027618	NA	NA	NA
D-Sedoheptulose 7-phosphate	mesh:C020495	NA	NA	NA
Ergothioneine	mesh:D004880	NA	NA	NA
Me  EGT (13)  Me  Me  Me  Me 	mesh:C526611	NA	NA	NA
Lincomycin A	mesh:D008034	Lincomycin	lincomycin	chebi:6472
Me  Me  LmbG  Me  Me  Me  Mycothiol	mesh:C526611	NA	NA	NA
Me  Me   LmbF  Me  Me  HO ACHN  Me 	mesh:C526611	NA	NA	NA
V  Me  Me 	mesh:C526611	NA	NA	NA
 Me  Me 	mesh:C526611	NA	NA	NA
