word	mesh	match	name	chebi
hexanal	mesh:C010463	NA	NA	NA
jasmonic acid	mesh:C011006	NA	NA	NA
allene oxide	mesh:C025947	NA	NA	NA
trans-2-hexenal	mesh:C051750	2-hexenal	2-hexenal	chebi:19591
cis-3-hexenol	mesh:C051918	hex-3-en-1-ol	3-hexen-1-ol	chebi:145715
cis-3-hexenal	mesh:C586688	3-hexenal	3-hexenal	chebi:20030
hexanol	mesh:D000441	NA	NA	NA
13-hydroperoxide	mesh:D006861	Hydrogen Peroxide	hydroperoxide	chebi:35923
hydroperoxide	mesh:D006861	Hydrogen Peroxide	hydroperoxide	chebi:35923
linoleic acid	mesh:D008041	NA	NA	NA
linolenic acid	mesh:D008042	Linolenic Acids	linolenic acid	chebi:25048
