word	source	identifier
phenylethyl acetate	MESH	C054590
arogenate	MESH	C015478
BPBT		
2-phenylethanol	MESH	D010626
phenylacetaldehyde	MESH	C013192
Cs	MESH	D016572
phenylethylbenzoate		
cinnamoyl-CoA 3-oxo-3-phenyl	MESH	C022903
propionyl-CoA	MESH	C009061
benzoyl	MESH	C033901
phenylalanine	MESH	C119108
benzylbenzoate		
cinnamic acid	MESH	C029010
benzaldehyde	MESH	D001547
benzylalcohol		
p-coumaric acid	MESH	C032171
Co-Ca	MESH	D002118
benzoic acid	MESH	D019817
methyl benzoate	MESH	C044605
ferulic acid	MESH	C004999
feruloyl-CoA	MESH	C119167
eugenol	MESH	D005054
coniferyl alcohol	MESH	C010559
vanillin	MESH	C100058
coniferyl acetate	MESH	C010559
isoeugenol	MESH	C036643
