word	source	identifier
Ala	MESH	D000409
Arg	MESH	D001120
Asn	MESH	D001216
Aspartate	MESH	D001224
Asp	MESH	D001224
Cys	MESH	D003545
cystine	MESH	D003553
fatty acids	MESH	D005227
glucose	MESH	D005947
Gln	MESH	D005973
glutathione	MESH	D005978
glyceraldehyde	MESH	D005985
Gly	MESH	D005998
His	MESH	D006639
Leu	MESH	D007930
Lys	MESH	D008239
Met	MESH	D008715
Phe	MESH	D010649
purine	MESH	D011687
pyruvate	MESH	D011773
Ser	MESH	D012694
sulfate	MESH	D013431
Thr	MESH	D013912
Trp	MESH	D014364
Tyr	MESH	D014443
Val	MESH	D014633
Glu	MESH	D018698
