word	mesh	match	name	chebi
violaxanthin	mesh:C005613	NA	NA	NA
15-cis-phytoene	mesh:C100185	NA	NA	NA
carotene	mesh:D002338	Carotenoids	carotenoid	chebi:23044
chlorophyll	mesh:D002734	NA	NA	NA
pyridoxol	mesh:D011736	Pyridoxine	pyridoxine	chebi:16709
Pyruvate	mesh:D011773	NA	NA	NA
quinones	mesh:D011809	Quinones	quinone	chebi:36141
thiamine	mesh:D013831	Thiamine	thiamine(1+)	chebi:18385
lutein	mesh:D014975	Lutein	lutein	chebi:28838
tocopherol	mesh:D024505	Tocopherols	tocopherol	chebi:27013
zeaxanthin	mesh:D065146	NA	NA	NA
