word	mesh	match	name	chebi
Geranyl pyrophosphate	mesh:C015234	NA	NA	NA
Olivetolic acid	mesh:C112458	olivetolic acid	olivetolic acid	chebi:66955
Geranylpyrophosphate	mesh:C539828	NA	NA	NA
olivetolate	mesh:C112458	olivetolic acid	olivetolic acid	chebi:66955
Cannabigerolic acid	mesh:C100679	cannabigerolic acid	cannabigerolic acid	chebi:67081
Cannabichromenic acid	mesh:D000596	NA	NA	NA
Tetrahydrocannabinolic acid	mesh:C524353	NA	NA	NA
Cannabidiolic acid	mesh:C006884	NA	NA	NA
CBCA	mesh:C053520	NA	NA	NA
THCA	mesh:C003681	NA	NA	NA
(-)-trans-Ag-Tetrahydrocannabinol	mesh:D013759	Dronabinol	Delta(9)-tetrahydrocannabinol	chebi:66964
THC	mesh:D013759	Dronabinol	Delta(9)-tetrahydrocannabinol	chebi:66964
Cannabidiol	mesh:D002185	Cannabidiol	cannabidiol	chebi:69478
CBD	mesh:C546797	NA	NA	NA
A3THC	mesh:D013759	Dronabinol	Delta(9)-tetrahydrocannabinol	chebi:66964
Cannabinol	mesh:D002187	Cannabinol	Cannabinol	chebi:3360
CBN	mesh:C061009	NA	NA	NA
