word	source	identifier
n-Hexadecane	MESH	C007932
CH	MESH	C103208
n-Hexadecanol	MESH	C005031
CH,OH	MESH	C522272
n-Hexadecanoic acid	MESH	D019308
COOH	MESH	C102887
fatty acid	MESH	D005227
Hexadeconate acyl n-Hexadecanoic acid	MESH	D019308
n-Hexadeconate ACP	MESH	C053078
n-tetradeconate acyl CoA	MESH	D000214
B-ketohexadeconate	MESH	D001895
malonyl	MESH	D008316
B-hydroxy octadeconate	MESH	D006880
P-keto octadeconate	MESH	D007651
3-okho-l-hekhadesonate acyl CoA	MESH	D000214
B-hydroxy octadeconoic acid trans-2-octadecenoic	MESH	C002446
Octadeconoic acid	MESH	D000596
n-Hexadecanoie acid	MESH	C069135
rhamnose	MESH	D012210
glyceryl palmitate	MESH	D010168
Acetyl CoA n-tetradeconate acyl CoA	MESH	D000214
3-(palmitoyloxy)	MESH	C552442
Rhamnolipid	MESH	C418382
