word	source	identifier
Alanine	MESH	D000409
Aspartate	MESH	D001224
Cystine	MESH	D003553
Dopamine	MESH	D004298
Glucose	MESH	D005947
Glutamine	MESH	D005973
Ox-Glutathione	MESH	D005978
Red-Glutathione	MESH	D005978
Glycine	MESH	D005998
Isoleucine	MESH	D007532
Lysine	MESH	D008239
Melatonin	MESH	D008550
Norepinephrine	MESH	D009638
Oxaloacetate	MESH	D010071
Phenylalanine	MESH	D010649
Pyruvate	MESH	D011773
Serine	MESH	D012694
Succinate	MESH	D013386
Tryptophan	MESH	D014364
Valine	MESH	D014633
Glutamate	MESH	D018698
Lactate	MESH	D019344
