word	source	identifier
Lactate	MESH	D019344
Lactate CH,-CHOH-COOH	MESH	D019344
2 NAD	MESH	D009243
Fd	MESH	C498057
2 NADH	MESH	D009243
Fdo		
Pyruvate CH,-CO-COOH	MESH	C075190
Pyruvate	MESH	D011773
Acetyl-CoA	MESH	D000105
CH3-CO-COA	MESH	C479798
Acetaldehyde	MESH	D000079
ethanol	MESH	D000431
acetate	MESH	D000085
ATP	MESH	D000255
Acetate CH,-COOH	MESH	C526539
Ethanol	MESH	D000431
Acetoacetyl CoA CH;-CO-CH,-CO-COA	MESH	C075190
Butyryl CoA	MESH	C024343
B-OH-butyryl-CoA	MESH	C024343
B-OH-Butyryl CoA CH,-CHOH-CH,-CO-CoA	MESH	C103208
H	MESH	D006859
Crotonyl CoA CH3-CH=CH-CO-COA	MESH	C075190
NADH	MESH	D009243
NAD	MESH	D009243
Butyryl	MESH	C024343
Butyryl CoA CH,-CH,-CH,-CO-CoA	MESH	C075190
Acetate	MESH	D000085
butyrate	MESH	D002087
Butyrate CH3-CH,-CH,-COOH	MESH	C103208
