word	source	identifier
Histidine	MESH	C115717
L-glutamate		
L-glutamine		
L-proline	MESH	C489032
L-serine	MESH	C047902
L-arginine		
L-aspartate		
L-asparagine	MESH	C050801
L-lysine	MESH	C114808
L-methionine	MESH	D008715
L-glycine	MESH	D005998
L-alanine	MESH	D000409
L-threonine	MESH	C033059
L-valine	MESH	C035810
L-tryptophan		
L-tyrosine		
L-phenylalanine	MESH	C119108
L-isoleucine	MESH	C043801
L-histidine	MESH	C115717
L-leucine	MESH	C027819
D-glucose	MESH	D005947
L-lactate	MESH	D019344
L-malate	MESH	D008293
H2O2syn	MESH	C525256
Citrate	MESH	C102006
Oxygen	MESH	D010100
Carbon dioxide	MESH	D002245
Ammonium	MESH	D064751
Phosphate	MESH	D010710
Sulfate	MESH	D013431
Urea	MESH	D014508
Ormithine		
NH	MESH	D000641
Vitamin Choline	MESH	C059630
Linoleic acid	MESH	D008041
linolenic acid	MESH	D008042
TCA	MESH	C000589078
carbon	MESH	D002244
