word	source	identifier
2 NADPH	MESH	D009249
CO	MESH	D002245
Ru5P	MESH	D012428
Phe	MESH	C026650
E4P-Trp	MESH	C509690
Tyr	MESH	C042696
NADH	MESH	D009243
DHAP	MESH	C017202
Formate	MESH	D005561
NADH99	MESH	D009243
ATP	MESH	D000255
CHO-THF	MESH	C006461
Ser	MESH	C530429
Cys	MESH	C046557
CH	MESH	C103208
THF	MESH	C006461
5,10-CH,-THF	MESH	C006461
Fd	MESH	C498057
5-CH3-THF	MESH	C006461
Val	MESH	C081489
Ala	MESH	C026593
Leu	MESH	C038361
Acetyl-CoA	MESH	D000105
Acetate	MESH	D000085
Asn	MESH	C528802
Thr	MESH	C055175
Asp	MESH	C108952
Lys	MESH	C026591
Oxaloacetate	MESH	D010071
Citrate	MESH	C102006
NADHY		
TSA	MESH	C070842
Isocitrate	MESH	D007523
Succinate	MESH	D013386
Glu	MESH	C094686
Arg	MESH	C076685
Succinyl	MESH	C035687
